DN_ID,ID,CODIGO,NOME,INDICATIVO_NAVAL,SIGLA,ENDERECO,BAIRRO,CIDADE,UF,CEP
3.0,10294,83702,HOSPITAL NAVAL DE RECIFE,HOSRCF,HNRe,"AV. CRUZ CABUGÁ, 1200",SANTO AMARO,RECIFE,PE,50040000
1.0,10296,76000,DIRETORIA DE ADMINISTRAÇÃO DA MARINHA,ADMSTR,DAdM,"ILHA DAS COBRAS - EDIFÍCIO ALMIRANTE GASTÃO MOTTA, 2º ANDAR",CENTRO,RIO DE JANEIRO,RJ,20091000
2.0,10300,82310,CAPITANIA DOS PORTOS DA BAHIA,CPSALV,CPBA,"AV. DAS NAUS, S/Nº",CONC. DA PRAIA - COMÉRCIO,SALVADOR,BA,40015270
1.0,10301,32000,COMANDO DO PESSOAL DE FUZILEIROS NAVAIS,PESCFN,CPesFN,"FORTALEZA DE SÃO JOSÉ, S/N - ILHA DAS COBRAS",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10307,91623,FRAGATA BOSÍSIO,FBOSIS,FBOSISIO,"ILHA DE MOCANGUÊ, S/Nº - BASE NAVAL DO RIO DE JANEIRO",CENTRO,NITERÓI,RJ,24049900
4.0,10400,84124,NAVIO-AUXILIAR PARÁ,NAPARA,NAPara,BNVC RODOVIA ARTHUR BERNARDES S/Nº,VAL-DE-CÂES,BELÉM,PA,66115300
1.0,10088,10200,EMPRESA GERENCIAL DE PROJETOS NAVAIS,EGPRON,EMGEPRON,PRACA BARAO DE LADARIO S/N - ILHA DAS COBRAS - ED.08 DO AMRJ - 3o ANDAR,CENTRO,RIO DE JANEIRO,RJ,20091000
7.0,10218,11100,CENTRO DE COMUNICAÇÃO ESTRATÉGICA DA MARINHA,COMEST,CCEM,ESPLANADA DOS MINISTÉRIOS S/NR  BL N 3º ANDAR,,BRASÍLIA,DF,70055900
7.0,10290,12000,SECRETARIA DA COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR,SECIRM,SECIRM,"ESPLANADA DOS MINISTÉRIOS, BLOCO N, ANEXO BRAVO, 3o ANDAR",Centro,BRASÍLIA,DF,70055900
1.0,10272,13000,COMISSAO DE PROMOCOES DE OFICIAIS,PROMOF,CPO,"PRACA BARAO DE LADARIO, S/No - E.  ALTE TAMANDARE - 3º ANDAR",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10165,14001,CENTRO DE INTELIGÊNCIA DA MARINHA - RIO,,CIM-RIO,"RUA MAYRINK VEIGA, Nº 28,  6º ANDAR",CENTRO,RIO DE JANEIRO,RJ,20090050
1.0,10046,16000,PROCURADORIA ESPECIAL DA MARINHA,PROCTM,PEM,"RUA 1o DE MARCO, 114 - 1º e 2º Andares",CENTRO,RIO DE JANEIRO,RJ,20010000
7.0,10356,17000,SECRETARIA-EXECUTIVA DO GRUPO EXECUTIVO PARA MODERNIZAÇÃO DOS PORTOS,SEGEMP,SEGEMPO,"ESPLANADA DOS MINISTÉRIOS, BLOCO ""N"" - ANEXO - 3o ANDAR",,BRASÍLIA,DF,70055900
7.0,10028,20000,ESTADO-MAIOR DA ARMADA,ARMADA,EMA,"ESPLANADA DOS MINISTERIOS, BLOCO N - Sobreloja, 4º, 5º, 7º e 8º ANDARES",PLANO PILOTO,BRASÍLIA,DF,70055900
