OM_CENTRALIZADA_ID,OM_CENTRALIZADORA_ID,TIPO_CENTRALIZACAO_ID,DATA_INICIO,DATA_FIM
91665,91665,1.0,2018-05-01 00:00:00.000,2026-01-01 00:00:00
40014,81000,1.0,2020-07-10 00:00:00.000,2026-01-01 00:00:00
84122,84122,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
84124,84124,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
82025,82025,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
82115,82115,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
82117,82117,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
82118,82118,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
82512,82512,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
83511,83511,1.0,2016-09-01 00:00:00.000,2026-01-01 00:00:00
83140,83140,1.0,2016-09-01 00:00:00.000,2026-01-01 00:00:00
73200,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
76000,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
71000,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
11500,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
40000,81000,4.0,2017-10-15 01:00:00.000,2026-01-01 00:00:00
65721,65720,1.0,2019-01-22 00:00:00.000,2026-01-01 00:00:00
95380,95380,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
65701,65701,1.0,2008-07-01 00:00:00.000,2026-01-01 00:00:00
88511,88511,1.0,2017-03-01 00:00:00.000,2026-01-01 00:00:00
72000,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
44000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
64000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
79000,81000,4.0,2018-01-18 00:00:00.000,2025-06-30 00:00:00.000
64200,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
49000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
45000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
43000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
40005,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
50000,52000,1.0,2015-08-01 00:00:00.000,2026-01-01 00:00:00
84514,84514,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
89331,89331,1.0,2018-09-01 00:00:00.000,2026-01-01 00:00:00
64100,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
83800,83800,1.0,2009-07-01 00:00:00.000,2026-01-01 00:00:00
82024,82024,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
88133,88133,1.0,2016-10-01 00:00:00.000,2026-01-01 00:00:00
81100,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
81330,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
67000,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
62000,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
78000,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
65000,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
62500,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
67100,81000,4.0,2017-12-16 00:00:00.000,2026-01-01 00:00:00
71600,71100,1.0,2023-08-01 00:00:00.000,2026-01-01 00:00:00
14100,81000,1.0,2024-03-11 00:00:00.000,2026-01-01 00:00:00
91612,91613,1.0,2024-04-25 00:00:00.000,2024-04-26 00:00:00.000
30010,31050,4.0,2025-06-01 00:00:00.000,2026-01-01 00:00:00
65704,65704,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
65730,81000,1.0,2023-06-12 00:00:00.000,2024-12-31 00:00:00.000
84700,84000,1.0,2023-07-01 00:00:00.000,2023-07-31 00:00:00.000
40015,62600,1.0,2023-10-01 00:00:00.000,2024-07-27 00:00:00.000
91610,91613,1.0,2023-04-28 00:00:00.000,2023-04-30 00:00:00.000
41000,62600,1.0,2022-08-01 00:00:00.000,2023-09-30 00:00:00.000
85800,85000,1.0,2022-09-01 00:00:00.000,2026-01-01 00:00:00
65701,81000,1.0,2023-06-12 00:00:00.000,2024-12-31 00:00:00.000
